,link_id,link_dir,link_name,from_node_id,to_node_id,link_type,link_length,number_of_lanes,link_speed_limit,link_geometry,right_turn_lanes,left_turn_lanes,straight_turn_lanes,u_turn_lanes
1004,15629_1,single,福中路,15629_1_15658,14642_1_15629,driving,42.811238637961196,4,Not Defined,"LINESTRING(114.05751321002695 22.54752349330459 3.5559669602748594,114.05738870804076 22.54752245190131 3.5539322822869224,114.05729155611853 22.547521809711796 3.5523914534263388,114.05719443081746 22.547521342362096 3.550919443000624,114.05709733372177 22.547520911374956 3.5494948219424227)",0.0,0.0,4.0,0.0
1005,15658_-1,single,福中路,15629_-1_15658,19681,driving,12.290467664431482,4,Not Defined,"LINESTRING(114.05751496657183 22.547361374834683 3.509443380515023,114.05751481213746 22.54737562820918 3.5135316739338824,114.0576342893492 22.547376774150905 3.51554221914956,114.05792571954095 22.547431151256234 3.534795353894903)",0.0,1.0,3.0,0.0
1006,15658_1,single,福中路,19681,15629_1_15658,driving,12.290467664431482,3,Not Defined,"LINESTRING(114.05792571954095 22.547431151256234 3.534795353894903,114.05763286120307 22.54750898121012 3.553481926199373,114.05751337840357 22.5475079531772 3.55150516667037)",0.0,0.0,3.0,0.0
1007,15692_-1,single,金田路,18126_-1_15692,15692_-1_15714,driving,72.10301474520404,6,Not Defined,"LINESTRING(114.05781304074274 22.548470492664507 3.832638698622931,114.05781460474653 22.548380446475335 3.806599402645341,114.0578158823785 22.54829033318783 3.7805366006279963,114.05781695861555 22.54820015393213 3.754457905440365,114.05781791861376 22.548109909844943 3.7283709320627074,114.05781884770855 22.548019602065356 3.7022832996972594,114.05781983141466 22.547929231732958 3.6762026331756563,114.05782121771176 22.547819774350348 3.6446573873945725)",6.0,0.0,0.0,0.0
1008,15692_1,single,金田路,15692_1_15714,18126_1_15692,driving,72.10301474520404,4,Not Defined,"LINESTRING(114.05798364004755 22.54782174477593 3.64752991597429,114.05798225846624 22.547930843108755 3.67897183912393,114.05798127650998 22.548021063417476 3.7050093034404723,114.05798034769998 22.548111353861692 3.7310919429275393,114.05797938657075 22.548201713302273 3.7572121827195715,114.05797830745917 22.548292140599543 3.783362441617144,114.05797702450454 22.54838263461119 3.8095351398279114,114.05797545164855 22.548473194187768 3.8357226933368183)",0.0,0.0,4.0,0.0
1009,15714_-1,single,金田路,15692_-1_15714,19681,driving,15.283847570307923,5,Not Defined,"LINESTRING(114.05782121771176 22.547819774350348 3.6446573873945725,114.05783539422468 22.547819946339164 3.644906365777907,114.05783767399483 22.54768166036428 3.605095907851042,114.05792571954095 22.547431151256234 3.534795353894903)",0.0,0.7142857142857142,4.285714285714286,0.0
1010,15714_1,single,金田路,19681,15692_1_15714,driving,15.283847570307923,3,Not Defined,"LINESTRING(114.05792571954095 22.547431151256234 3.534795353894903,114.05796889802534 22.54768384313431 3.6075863532054044,114.05796662823163 22.547821538404882 3.647227000789748)",0.0,0.0,3.0,0.0
1011,15752_-1,single,金田路,13200_-1_15752,15752_-1_15776,driving,29.097627396962732,5,Not Defined,"LINESTRING(114.05783418841318 22.546009922477687 3.1274120890666404,114.05783418841649 22.5460099224777 3.127412089066641,114.05783527518548 22.545920486116202 3.1018537750958624,114.05783594037781 22.545748024868598 3.05254573256258)",5.0,0.0,0.0,0.0
1012,15752_1,single,金田路,15752_1_15776,13200_1_15752,driving,29.097627396962732,4,Not Defined,"LINESTRING(114.05801355271612 22.54574705701698 3.054798567879429,114.05801269380359 22.545919526720628 3.1041057054763077,114.05801079845132 22.54601064879716 3.13013124403831)",0.0,0.0,4.0,0.0
1013,15803_-1,single,福中三路,18148_-1_15803,15803_-1_15817,driving,76.27181514155735,3,Not Defined,"LINESTRING(114.05680431507457 22.54542367651439 2.9474319787857977,114.05690140485956 22.54542517768278 2.9490730616653305,114.05699852846259 22.545426490517116 2.9506798725540455,114.05709568490491 22.54542767367151 2.952267965124368,114.05719287320574 22.54542878585584 2.953852907826941,114.05729009238419 22.545429885835777 2.955450281075742,114.05738734146121 22.545431032432766 2.9570756878039086,114.05754564877977 22.545432915370732 2.9597544040153565)",3.0,0.0,0.0,0.0
1014,15803_1,single,福中三路,15803_1_15817,18148_1_15803,driving,76.27181514155735,2,Not Defined,"LINESTRING(114.0575443520539 22.545508347885466 2.981107435549654,114.05738627380052 22.545506200434847 2.978356884030769,114.0572890935741 22.54550502846609 2.9767252021926587,114.0571918903929 22.54550390047932 2.9751201020552576,114.05709466526568 22.54550275976458 2.973526599257196,114.05699741920218 22.54550154957154 2.971929700992481,114.05690015319742 22.54550021310945 2.970314397565835,114.05680286821654 22.545498693547003 2.968665675059691)",0.0,0.0,2.0,0.0
1015,15817_-1,single,福中三路,15803_-1_15817,19670,driving,14.861931838185573,2,Not Defined,"LINESTRING(114.05754564877977 22.545432915370732 2.9597544040153565,114.05754540286681 22.545447220507196 2.963802980117293,114.05768993091795 22.5454492682967 2.9663765581669,114.05794879661936 22.545435244210207 2.9659537376990888)",0.0,1.3333333333333333,0.6666666666666666,0.0
1016,15817_1,single,福中三路,19670,15803_1_15817,driving,14.861931838185573,1,Not Defined,"LINESTRING(114.05794879661936 22.545435244210207 2.9659537376990888,114.05768905767873 22.545494559108015 2.9791958523234627,114.05754462426846 22.54549251275716 2.97662399978419)",0.0,0.0,1.0,0.0
1017,16039_-1,single,Road (3078),511,16039_-1_16074,driving,47.28114321430093,5,Not Defined,"LINESTRING(114.05817381392649 22.540283889719966 1.5357822250965456,114.05793516207446 22.540277767073707 1.530661325576791,114.05793782645628 22.54018699364553 2.98020569154086,114.05794036375785 22.540096425338007 2.3083201122407675,114.0579431629583 22.540006044272133 0.9828803695937485,114.05794883376399 22.539850352180288 -4.11581010443186)",5.0,0.0,0.0,0.0
1018,16039_1,single,Road (3078),16039_1_16074,511,driving,47.28114321430093,4,Not Defined,"LINESTRING(114.05812950925092 22.53985660190003 -4.111501791611189,114.05812255216864 22.54001258751201 0.9872501917400892,114.05811831125462 22.540102627638866 2.3125762080806127,114.05811536067282 22.540192541160895 2.9842772823522354,114.05811359831453 22.54028234491355 1.5344812281119984,114.05817381392649 22.540283889719966 1.5357822250965456)",4.0,0.0,0.0,0.0
